STT,Từ mới,Phiên âm,Giải thích,Ví dụ (chữ hán),Phiên âm,Dịch
60,妈妈,māma,mẹ,我的妈妈很漂亮。,Wǒ de māmā hěn piàoliang.,Mẹ của tôi rất xinh đẹp.
61,吗,ma,không (dùng trong câu hỏi),你好吗？,Nǐ hǎo ma?,Bạn khỏe không?
62,买,mǎi,mua,我买了水果。,Wǒ mǎile shuǐguǒ.,Tôi đã mua trái cây.
63,猫,māo,mèo,这只猫很可爱。,Zhè zhī māo hěn kě'ài.,Con mèo này rất dễ thương.
64,没,méi,"không có, chưa",我没看见他。,Wǒ méi kànjiàn tā.,Tôi không nhìn thấy anh ấy.
65,没关系,méi guānxi,"không sao, không có gì",下雨了，没关系，我们有伞。,"Xiàyǔ le, méi guānxì, wǒmen yǒu sǎn.","Trời mưa rồi, không sao đâu, chúng ta có ô."
66,米饭,mǐfàn,cơm,我们吃米饭。,Wǒmen chī mǐfàn.,Chúng tôi ăn cơm.
67,明天,míngtiān,ngày mai,明天见。,Míngtiān jiàn.,Ngày mai gặp.
68,名字,míngzi,tên,你叫什么名字？,Nǐ jiào shénme míngzì?,Bạn tên là gì?
69,哪里 (哪儿),nǎlǐ (nǎr),"đâu, chỗ nào",你要去哪儿？,Nǐ yào qù nǎr？,Bạn muốn đi đâu?
70,那,nà,"đó, kia",那个书包很漂亮。,Nàge shūbāo hěn piàoliang.,Cái cặp sách đó rất đẹp.
71,呢,ne,thì sao? (dùng để hỏi thêm),你呢？,Nǐ ne?,Còn bạn thì sao?
72,能,néng,có thể,他能说三种语言。,Tā néng shuō sān zhǒng yǔyán.,Anh ấy có thể nói ba ngôn ngữ.
73,你,nǐ,bạn,你叫什么名字？,Nǐ jiào shénme míngzi?,Bạn tên là gì?
74,年,nián,năm,我结婚三年了。,Wǒ jiéhūn sān nián le.,Tôi kết hôn 3 năm rồi.
75,女儿,nǚ'ér,con gái,她是我的女儿。,Tā shì wǒ de nǚ'ér.,Con bé là con gái của tôi.
76,朋友,péngyou,bạn,她的朋友很聪明。,Tā de péngyou hěn cōngmíng.,Bạn của cô ấy rất thông minh.
77,漂亮,piàoliang,đẹp,她很漂亮。,Tā hěn piàoliang.,Cô ấy rất xinh đẹp.
78,苹果,píngguǒ,táo,这个苹果很好吃。,Zhège píngguǒ hěn hǎochī.,Táo này rất ngon.
79,七,qī,bảy,我有七个朋友。,Wǒ yǒu qī ge péngyou.,Tôi có bảy người bạn.
80,钱,qián,tiền,这本书多少钱？,Zhè běn shū duōshǎo qián?,Cuốn sách này giá bao nhiêu?
81,前面,qiánmiàn,phía trước,火车站在前面。,Huǒchēzhàn zài qiánmiàn.,Ga tàu ở phía trước.
82,请,qǐng,"xin vui lòng, mời",请给我菜单。,Qǐng gěi wǒ càidān.,Xin vui lòng đưa cho tôi thực đơn.
83,去,qù,đi,我们要去商店。,Wǒmen yào qù shāngdiàn.,Chúng tôi phải đến cửa hàng.
84,热,rè,nóng,天气很热。,Tiānqì hěn rè.,Thời tiết rất nóng.
85,人,rén,người,这个人很友好。,Zhè ge rén hěn yǒuhǎo.,Người này rất thân thiện.
86,认识,rènshi,quen biết,我认识他。,Wǒ rènshi tā.,Tôi quen anh ấy.
87,日,rì,ngày,今天是几月几日？,Jīntiān shì jǐ yuè jǐ rì?,Hôm nay là ngày mấy tháng mấy?
88,三,sān,ba,我有三本书。,Wǒ yǒu sān běn shū.,Tôi có ba cuốn sách.
89,商店,shāngdiàn,cửa hàng,这个商店很大。,Zhège shāngdiàn hěn dà.,Cửa hàng này rất lớn.
90,上,shàng,lên,他在上楼。,Tā zài shàng lóu.,Anh ấy đang lên tầng.
91,上午,shàngwǔ,buổi sáng,上午我们去学校。,Shàngwǔ wǒmen qù xuéxiào.,Vào buổi sáng chúng tôi đi học.
92,少,shǎo,ít,我们还少一个人。,Wǒmen hái shǎo yīgè rén.,Chúng tôi vẫn thiếu một người.
93,谁,shuí/ shéi,ai,谁是你的老师？,Shéi shì nǐ de lǎoshī?,Ai là giáo viên của bạn?
94,什么,shénme,cái gì,你想吃什么？,Nǐ xiǎng chī shénme?,Bạn muốn ăn gì?
95,十,shí,mười,我有十块钱。,Wǒ yǒu shí kuài qián.,Tôi có mười tệ.
96,时候,shíhòu,"lúc, khi",你什么时候来？,Nǐ shénme shíhòu lái?,Bạn đến lúc nào ?
97,是,shì,"là, thì",这是一本好书。,Zhè shì yī běn hǎo shū.,Đây là một cuốn sách hay.
98,书,shū,sách,这本书很有意思。,Zhè běn shū hěn yǒuyìsi.,Cuốn sách này rất thú vị.
99,水,shuǐ,nước,我喝水。,Wǒ hē shuǐ.,Tôi uống nước.
100,水果,shuǐguǒ,trái cây,她喜欢吃水果。,Tā xǐhuān chī shuǐguǒ.,Cô ấy thích ăn trái cây.
101,睡觉,shuìjiào,ngủ,他每天晚上十点睡觉。,Tā měitiān wǎnshàng shí diǎn shuìjiào.,Anh ấy đi ngủ lúc mười giờ tối mỗi ngày.
102,说话,shuōhuà,nói chuyện,你怎么不说话？,Nǐ zěnme bù shuōhuà?,Sao bạn không nói chuyện thế?
103,四,sì,bốn,他们四个人去旅行。,Tāmen sì gè rén qù lǚxíng.,Bốn người họ đi du lịch.
104,岁,suì,tuổi,我今年二十五岁。,Wǒ jīnnián èrshíwǔ suì.,Tôi năm nay hai mươi lăm tuổi.
105,他,tā,"anh ấy, ông ấy",他是我的朋友。,Tā shì wǒ de péngyou.,Anh ấy là bạn của tôi.
106,她,tā,"cô ấy, bà ấy",她在家里。,Tā zài jiālǐ.,Cô ấy ở nhà.
107,太,tài,quá,今天太热了。,Jīntiān tài rè le.,Hôm nay nóng quá.
108,天气,tiānqì,thời tiết,今天天气很好。,Jīntiān tiānqì hěn hǎo.,Thời tiết hôm nay rất tốt.
109,听,tīng,nghe,我喜欢听音乐。,Wǒ xǐhuān tīng yīnyuè.,Tôi thích nghe nhạc.
110,同学,tóngxué,bạn học,我们是同学。,Wǒmen shì tóngxué.,Chúng tôi là bạn học.
111,喂,wèi,alo,喂，你好吗？,"Wèi, nǐ hǎo ma?","Alo, bạn khỏe không?"
112,我,wǒ,tôi,我想喝水。,Wǒ xiǎng hē shuǐ.,Tôi muốn uống nước.
113,我们,wǒmen,chúng tôi,我们一起去吧。,Wǒmen yīqǐ qù ba.,Chúng ta cùng đi nhé.
114,五,wǔ,năm,他有五本书。,Tā yǒu wǔ běn shū.,Anh ấy có năm cuốn sách.
115,喜欢,xǐhuān,thích,我喜欢喝咖啡。,Wǒ xǐhuān hē kāfēi.,Tôi thích uống cà phê.
116,下,xià,xuống,我在下楼。,Wǒ zài xià lóu.,Tôi đang xuống lầu.
117,下午,xiàwǔ,buổi chiều,下午我们去逛街。,Xiàwǔ wǒmen qù guàngjiē.,"uổi chiều, chúng tôi đi dạo phố."
118,下雨,xià yǔ,mưa,外面下雨了，记得带伞。,"Wàimiàn xià yǔ le, jìdé dài sǎn.","Ngoài trời mưa, nhớ mang theo ô."
119,先生,xiānshēng,"ông, ngài",先生，这边请。,"Xiānshēng, zhè biān qǐng",Mời anh qua bên này.
120,现在,xiànzài,bây giờ,我现在很累。,Wǒ xiànzài hěn lèi.,Tôi hiện tại rất mệt.
121,想,xiǎng,"nghĩ, muốn",我想去看电影。,Wǒ xiǎng qù kàn diànyǐng.,Tôi muốn đi xem phim.
122,小,xiǎo,nhỏ,这是一只小狗。,Zhè shì yī zhī xiǎo gǒu.,Đây là một chú chó con.
123,小姐,xiǎojiě,cô (trong cách gọi),小姐，请问这里有洗手间吗？,"Xiǎojiě, qǐngwèn zhèlǐ yǒu xǐshǒujiān ma?","Cô ơi, xin hỏi ở đây có nhà vệ sinh không?"
124,些,xiē,vài,我们买了一些水果。,Wǒmen mǎile yīxiē shuǐguǒ.,Chúng tôi đã mua một ít trái cây.
125,写,xiě,viết,我正在写信。,Wǒ zhèngzài xiě xìn.,Tôi đang viết thư.
126,谢谢,xièxiè,cảm ơn,谢谢你的帮助。,Xièxiè nǐ de bāngzhù.,Cảm ơn sự giúp đỡ của bạn.
127,星期,xīngqī,tuần,一个星期就好。,Yí gè xīngqī jiǔ hǎo.,Một tuần là được
128,学生,xuéshēng,học sinh,他是一个好学生。,Tā shì yīgè hǎo xuéshēng.,Anh ấy là một học sinh giỏi.
129,学习,xuéxí,học tập,学习中文很有趣。,Xuéxí zhōngwén hěn yǒuqù.,Học tiếng Trung rất thú vị.
130,学校,xuéxiào,trường học,我在学校学习中文。,Wǒ zài xuéxiào xuéxí zhōngwén.,Tôi học tiếng Trung ở trường.
131,一,yī,một,一个人在公园散步。,Yī gè rén zài gōngyuán sànbù.,Một người đang đi dạo trong công viên.
132,衣服,yīfu,quần áo,这件衣服很漂亮。,Zhè jiàn yīfu hěn piàoliang.,Bộ quần áo này rất đẹp.
133,医生,yīshēng,bác sĩ,他是一位医生。,Tā shì yī wèi yīshēng.,Anh ấy là một bác sĩ.
134,医院,yīyuàn,bệnh viện,我们去医院看病。,Wǒmen qù yīyuàn kàn bìng.,Chúng tôi đến bệnh viện để khám bệnh.
135,椅子,yǐzi,ghế,请坐在椅子上。,Qǐng zuò zài yǐzi shàng.,Xin ngồi lên ghế.
136,月,yuè,"tháng, mặt trăng",这个月我很忙。,Zhège yuè wǒ hěn máng.,Tháng này tôi rất bận.
137,在,zài,"ở, tại",他在学校学习。,Tā zài xuéxiào xuéxí.,Anh ấy học ở trường.
138,再见,zàijiàn,tạm biệt,我们明天再见。,Wǒmen míngtiān zàijiàn.,Chúng ta gặp lại vào ngày mai.
139,怎么,zěnme,làm sao,你怎么了？,Nǐ zěnme le?,Bạn sao vậy?
140,怎么样,zěnmeyàng,như thế nào,你的工作怎么样？,Nǐ de gōngzuò zěnmeyàng?,Công việc của bạn thế nào?
141,这,zhè,"Đây, này",这件事怎么样？,Zhè jiàn shì zěnme yàng?,Việc này như thế nào?
142,中国,Zhōngguó,Trung Quốc,中国有很多美丽的风景。,Zhōngguó yǒu hěn duō měilì de fēngjǐng.,Trung Quốc có nhiều cảnh đẹp.
143,中午,zhōngwǔ,buổi trưa,中午我们去吃饭吧。,Zhōngwǔ wǒmen qù chīfàn ba.,Buổi trưa chúng ta đi ăn cơm nhé.
144,住,zhù,"sống, cư trú",我住在一个很安静的地方。,Wǒ zhù zài yīgè hěn ānjìng de dìfāng.,Tôi sống ở một nơi rất yên tĩnh.
145,桌子,zhuōzi,bàn,桌子上放着一本书。,Zhuōzi shàng fàngzhe yī běn shū.,Trên bàn có một cuốn sách.
146,字,zì,chữ,我们要学会写字。,Wǒmen yào xuéhuì xiě zì.,Chúng ta phải học viết chữ.
147,昨天,zuótiān,hôm qua,昨天我去看了一部电影。,Zuótiān wǒ qù kànle yī bù diànyǐng.,Hôm qua tôi đã đi xem một bộ phim.
148,坐,zuò,ngồi,我们在公园里坐了一会儿。,Wǒmen zài gōngyuán lǐ zuòle yīhuìr.,Chúng tôi đã ngồi một lúc trong công viên.
149,做,zuò,làm,他正在做作业。,Tā zhèngzài zuò zuòyè.,Anh ấy đang làm bài tập về nhà.
1,吧,ba,"đi, nhé, nhỉ (đứng cuối câu)",请你帮我吧。,Qǐng nǐ bāng wǒ ba.,Xin bạn giúp tôi nhé.
2,白,bái,trắng,他的白色衬衫很漂亮。,Tā de báisè chènshān hěn piàoliang.,Áo sơ mi trắng của anh ấy rất đẹp.
3,百,bǎi,trăm,我们要买一百个苹果。,Wǒmen yào mǎi yī bǎi gè píngguǒ.,Chúng tôi muốn mua một trăm quả táo.
4,帮助,bāngzhù,giúp đỡ,请你帮忙翻译这篇文章。,Qǐng nǐ bāngmáng fānyì zhè piān wénzhāng.,Xin bạn giúp dịch bài viết này.
5,报纸,bàozhǐ,báo,我每天都看报纸。,Wǒ měitiān dōu kàn bàozhǐ.,Tôi đọc báo mỗi ngày.
6,比,bǐ,so sánh,我的家比你的家大。,Wǒ de jiā bǐ nǐ de jiā dà.,Nhà của tôi lớn hơn nhà của bạn.
7,别,bié,"đừng, khác biệt",别忘带钥匙。,Bié wàng dài yàoshi.,Đừng quên mang theo chìa khóa.
8,长,cháng,dài,她的头发很长。,Tā de tóufǎ hěn cháng.,Tóc của cô ấy rất dài.
9,唱歌,chànggē,hát,我喜欢唱歌。,Wǒ xǐhuān chànggē.,Tôi thích hát.
10,出,chū,ra ngoài,我们出去玩吧。,Wǒmen chūqù wán ba.,Chúng ta ra ngoài chơi đi.
11,穿,chuān,mặc,你穿的衣服很漂亮。,Nǐ chuān de yīfú hěn piàoliang.,Quần áo bạn mặc rất đẹp.
12,船,chuán,thuyền,他坐在船上。,Tā zuò zài chuán shàng.,Anh ấy ngồi trên thuyền.
13,次,cì,lần,这是我第一次来这里。,Zhè shì wǒ dì yī cì lái zhèlǐ.,Đây là lần đầu tiên tôi đến đây.
14,从,cóng,"từ, theo",他从早上工作到晚上。,Tā cóng zǎoshang gōngzuò dào wǎnshang.,Anh ấy làm việc từ sáng đến tối.
15,错,cuò,sai,他做错了一个题。,Tā zuò cuòle yīgè tí.,Anh ấy đã làm sai một bài tập.
16,打篮球,dǎ lánqiú,chơi bóng rổ,他打篮球打得很好。,Tā dǎ lánqiú dǎ de hěn hǎo.,Anh ấy chơi bóng rổ rất giỏi.
17,大家,dàjiā,mọi người,大家都很高兴。,Dàjiā dōu hěn gāoxìng.,Mọi người đều rất vui.
18,但是,dànshì,nhưng,我想去，但是没有时间。,"Wǒ xiǎng qù, dànshì méiyǒu shíjiān.","Tôi muốn đi, nhưng không có thời gian."
19,到,dào,đến,我们今天到学校了。,Wǒmen jīntiān dào xuéxiào le.,Hôm nay chúng tôi đã đến trường.
20,得,děi,"phải, đạt được",你得努力学习。,Nǐ děi nǔlì xuéxí.,Bạn phải cố gắng học.
21,等,děng,đợi,我们等你来。,Wǒmen děng nǐ lái.,Chúng tôi đợi bạn đến.
22,弟弟,dìdì,em trai,弟弟在玩玩具。,Dìdì zài wán wánjù.,Em trai đang chơi đồ chơi.
23,第一,dì yī,đầu tiên,他是第一名。,Tā shì dì yī míng.,Anh ấy là người đứng đầu.
24,懂,dǒng,hiểu,我不懂这个问题。,Wǒ bù dǒng zhège wèntí.,Tôi không hiểu vấn đề này.
25,对,duì,"đúng, đối với",你对我很好。,Nǐ duì wǒ hěn hǎo.,Bạn đối xử tốt với tôi.
26,房间,fángjiān,phòng,房间里很安静。,Fángjiān lǐ hěn ānjìng.,Trong phòng rất yên tĩnh.
27,非常,fēicháng,"rất, cực kỳ",这道菜非常好吃。,Zhè dào cài fēicháng hǎochī.,Món ăn này rất ngon.
28,服务员,fúwùyuán,nhân viên phục vụ,服务员请帮忙。,Fúwùyuán qǐng bāngmáng.,"Nhân viên phục vụ, xin giúp đỡ."
29,高,gāo,cao,他很高。,Tā hěn gāo.,Anh ấy rất cao.
30,告诉,gàosù,"nói cho, thông báo",请告诉我答案。,Qǐng gàosù wǒ dá'àn.,Xin cho tôi biết đáp án.
31,哥哥,gēge,anh trai,哥哥在家里。,Gēge zài jiālǐ.,Anh trai đang ở nhà.
32,给,gěi,"đưa cho, cho",请给我一本书。,Qǐng gěi wǒ yī běn shū.,Xin hãy đưa cho tôi một cuốn sách.
33,公共汽车,gōnggòng qìchē,xe buýt,公共汽车很方便。,Gōnggòng qìchē hěn fāngbiàn.,Xe buýt rất tiện lợi.
34,公斤,gōngjīn,kilogram (kg),这个包十公斤。,Zhège bāo shí gōngjīn.,Cái túi này mười kilogram.
35,公司,gōngsī,công ty,我在公司工作。,Wǒ zài gōngsī gōngzuò.,Tôi làm việc ở công ty.
36,贵,guì,"đắt, quý",这件衣服很贵。,Zhè jiàn yīfú hěn guì.,Cái áo này rất đắt.
37,过,guò,"qua, đi qua",请过安检门。,Qǐng guò ānjiǎn mén.\,Mời đi qua cửa an ninh.
38,还,hái,"vẫn, còn",我还想要一杯水。,Wǒ hái xiǎng yào yī bēi shuǐ.,Tôi còn muốn một cốc nước.
39,孩子,háizi,trẻ con,孩子们都在玩。,Háizimen dōu zài wán.,Những đứa trẻ đang chơi.
40,好吃,hǎochī,ngon,这道菜很好吃。,Zhè dào cài hěn hǎo chī.,Món ăn này rất ngon.
41,号,hào,"số (như số điện thoại, số nhà)",你的手机号是多少？,Nǐ de shǒujī hào shì duōshǎo?,Số điện thoại của bạn là bao nhiêu?
42,黑,hēi,đen,我的车是黑色的。,Wǒ de chē shì hēisè de.,Xe của tôi màu đen.
43,红,hóng,đỏ,她喜欢红色的衣服。,Tā xǐhuān hóngsè de yīfú.,Cô ấy thích quần áo màu đỏ.
44,欢迎,huānyíng,"hoan nghênh, chào mừng",欢迎你来我家。,Huānyíng nǐ lái wǒ jiā.,Chào mừng bạn đến nhà tôi.
45,回答,huídá,trả lời,请回答我的问题。,Qǐng huídá wǒ de wèntí.,Xin trả lời câu hỏi của tôi.
46,机场,jīchǎng,sân bay,机场离这里很近。,Jīchǎng lí zhèlǐ hěn jìn.,Sân bay gần đây.
47,鸡蛋,jīdàn,trứng gà,我喜欢吃鸡蛋。,Wǒ xǐhuān chī jīdàn.,Tôi thích ăn trứng.
48,件,jiàn,"cái (dùng cho sự việc, quần áo)",这件衣服很好看。,Zhè jiàn yīfú hěn hǎokàn.,Cái áo này rất đẹp.
49,教室,jiàoshì,lớp học,学生们在教室里学习。,Xuéshēngmen zài jiàoshì lǐ xuéxí.,Học sinh đang học trong lớp học.
50,姐姐,jiějie,chị gái,姐姐比我大三岁。,Jiějiě bǐ wǒ dà sān suì.,Chị gái lớn hơn tôi ba tuổi.
51,介绍,jièshào,giới thiệu,请介绍一下你自己。,Qǐng jièshào yīxià nǐ zìjǐ.,Xin hãy giới thiệu về bản thân.
52,进,jìn,vào,请进，别客气。,"Qǐng jìn, bié kèqì.","Mời vào, đừng khách sáo."
53,近,jìn,gần,学校离我家很近。,Xuéxiào lí wǒ jiā hěn jìn.,Trường học gần nhà tôi.
54,就,jiù,"thì, ngay",他就住在我家旁边。,Tā jiù zhù zài wǒ jiā pángbiān.,Anh ấy sống ngay cạnh nhà tôi.
55,觉得,juéde,cảm thấy,我觉得今天很热。,Wǒ juéde jīntiān hěn rè.,Tôi cảm thấy hôm nay rất nóng.
56,咖啡,kāfēi,cà phê,我每天早上喝咖啡。,Wǒ měitiān zǎoshang hē kāfēi.,Tôi uống cà phê mỗi sáng.
57,开始,kāishǐ,bắt đầu,我们现在开始上课。,Wǒmen xiànzài kāishǐ shàngkè.,Bây giờ chúng ta bắt đầu học.
58,考试,kǎoshì,thi,我准备好考试了。,Wǒ zhǔnbèi hǎo kǎoshì le.,Tôi đã chuẩn bị sẵn sàng cho kỳ thi.
59,可能,kěnéng,có thể,可能会下雨。,Kěnéng huì xiàyǔ.,Có thể sẽ mưa.
60,可以,kěyǐ,có thể,你可以坐在这里。,Nǐ kěyǐ zuò zài zhèlǐ.,Bạn có thể ngồi ở đây.
61,课,kè,bài học,我们今天有三节课。,Wǒmen jīntiān yǒu sān jié kè.,Hôm nay chúng ta có ba tiết học.
62,快,kuài,nhanh,他跑得很快。,Tā pǎo de hěn kuài.,Anh ấy chạy rất nhanh.
63,快乐,kuàilè,vui vẻ,祝你生日快乐。,Zhù nǐ shēngrì kuàilè.,Chúc bạn sinh nhật vui vẻ.
64,累,lèi,mệt,我累了，想休息一下。,"Wǒ lèile, xiǎng xiūxí yīxià.","Tôi mệt rồi, muốn nghỉ ngơi một chút."
65,离,lí,"cách (khoảng cách), rời",学校离我家不远。,Xuéxiào lí wǒ jiā bù yuǎn.,Trường học không xa nhà tôi.
66,两,liǎng,hai (khi đếm số lượng),我有两个弟弟。,Wǒ yǒu liǎng gè dìdì.,Tôi có hai em trai.
67,路,lù,đường,这条路很长。,Zhè tiáo lù hěn cháng.,Con đường này rất dài.
68,旅游,lǚyóu,du lịch,我喜欢旅游。,Wǒ xǐhuān lǚyóu.,Tôi thích du lịch.
69,卖,mài,bán,他在商店里卖东西。,Tā zài shāngdiàn lǐ mài dōngxī.,Anh ấy bán hàng trong cửa hàng.
70,慢,màn,chậm,他走得很慢。,Tā zǒu de hěn màn.,Anh ấy đi rất chậm.
71,忙,máng,bận,我今天很忙。,Wǒ jīntiān hěn máng.,Hôm nay tôi rất bận.
72,每,měi,mỗi,每个人都有机会。,Měi gèrén dōu yǒu jīhuì.,Mỗi người đều có cơ hội.
73,妹妹,mèimei,em gái,妹妹在唱歌。,Mèimei zài chànggē.,Em gái đang hát.
74,门,mén,cửa,他站在门口。,Tā zhàn zài ménkǒu.,Anh ấy đứng ở cửa.
75,男人,nánrén,đàn ông,那个男人很高。,Nàgè nánrén hěn gāo.,Người đàn ông đó rất cao.
76,您,nín,bạn (dùng lịch sự),您好，请进。,"Nín hǎo, qǐng jìn.","Xin chào, mời vào."
77,牛奶,niúnǎi,sữa bò,我每天早上喝牛奶。,Wǒ měitiān zǎoshang hē niúnǎi.,Tôi uống sữa mỗi sáng.
78,女人,nǚrén,phụ nữ,那个女人是我妈妈。,Nàgè nǚrén shì wǒ māma.,Người phụ nữ đó là mẹ tôi.
